group_id,condition,caption,prompt_type,key_verb,afforded_text,non-afforded_text,related_text,afforded_image,non-afforded_image,related_image
7,"Phil was trying to get a barbecue going early in the morning for a tailgater. He got dizzy from blowing on the coals, but they still weren't burning well.",,implicit,start,map,rock,bellows,map_natural.jpeg,rock_natural.jpeg,bellows_natural.jpeg
8,"Peggy was babysitting her infant nephew while she cooked dinner. He was being fussy, but she had few toys to occupy him.",,implicit,occupy,plastic spoon,large refrigerator,red beanbag,plasticspoon_natural.jpeg,largerefrigerator_natural.jpeg,redbeanbag_natural.jpeg
9,"Joe's roommates had taken all of the space in the closet, and there was no place to hang his coat.",,implicit,use,vacuum cleaner,electric outlet,door knob,vacuumcleaner_natural.jpeg,electricoutlet_natural.jpeg,doorknob_natural.jpeg
10,"Jonathan opened up his car's trunk, but the ice scraper wasn't there.",,implicit,chisel,seven iron,ham sandwich,screw driver,seveniron_natural.jpeg,hamsandwich_natural.jpeg,screwdriver_natural.jpeg
11,"After taking a shower at the gym, Sarah discovered that her skirt needed to be pressed free of wrinkles before she returned to work.",,implicit,press,warm thermos,hair pin,hair dryer,warmthermos_natural.jpeg,hairpin_natural.jpeg,hairdryer_natural.jpeg
12,"When Aaron got to work at McDonald's he realized that he forgot his cap at home. The manager had a strict rule: If your hair isn't covered, you cannot work.",,implicit,cover,sandwich wrapper,hamburger bun,shower cap,sandwichwrapper_natural.jpeg,hamburgerbun_natural.png,showercap_natural.jpeg
13,Marissa forgot to bring her pillow on her camping trip.,,implicit,use,leaves,water,clothes,leaves_natural.jpeg,water_natural.jpeg,clothes_natural.jpeg
14,"After wading barefoot in the lake, Erik needed something to get dry.",,implicit,dry,shirt,glasses,towel,shirt_natural.jpeg,glasses_natural.jpeg,towel_natural.jpeg
15,"While taking a walk, Colleen ran into an old friend that she hadn't seen in over a year. They exchanged phone numbers, but Colleen couldn't find anything in her purse to write the number on.",,implicit,write,popsicle stick,bent earring,note pad,popsiclestick_natural.jpeg,bentearring_natural.jpeg,notepad_natural.jpeg
16,Harry accidentally dropped his book behind his bed. He couldn't reach it with his hand.,,implicit,reach,rolled paper,smelly sock,mop handle,rolledpaper_natural.jpeg,smellysock_natural.jpeg,mophandle_natural.jpeg
17,"Janet was teaching her class and desperately needed to draw on the blackboard, but as usual, the janitorial staff had forgotten to put fresh supplies in the classroom.",,implicit,draw,rice,water,chalk,rice_natural.jpeg,water_natural.jpeg,chalk_natural.jpeg
18,"Judy was trying to complete the Xeroxing using the machine in the hallway, but people kept asking her if they could cut in to make a few copies.",,implicit,move to,the lavatory,her mailbox,her office,thelavatory_natural.jpeg,hermailbox_natural.jpeg,heroffice_natural.jpeg
